"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"128","time","uniform","5","90","3","Dionysus","446.088382186019","443.06823621795","444.792391791008","443.731941138976","445.035537054995","443.63537224906","442.505723712035","442.628734107013","438.000691283029","697.562796249986"
"129","time","uniform","4","100","3","Dionysus","1146.614819368","1197.69909311796","1223.78491957102","1138.51598127594","1144.60229390603","1135.29889950389","1137.771672128","1163.41859536606","1182.73708618595","1179.54051901598"
"130","time","uniform","5","100","3","Dionysus","943.247211552109","935.018958832021","940.085736862035","935.502898531035","937.281390063115","941.763423177064","943.747178665129","935.577034818009","935.162481019972","930.565818508039"
"131","time","uniform","5","10","4","Dionysus","0.00252693402580917","0.00250507786404341","0.00249847094528377","0.00249842996709049","0.00250227993819863","0.00253134884405881","0.0024906249018386","0.00248616596218199","0.00251562194898725","0.00248425593599677"
"132","time","uniform","5","15","4","Dionysus","0.0362263539573178","0.0349487910280004","0.0349200859200209","0.0349206319078803","0.0348287730012089","0.0386621069628745","0.0617703530006111","0.0348626660415903","0.0348088019527495","0.0350471349665895"
"133","time","uniform","5","20","4","Dionysus","0.235302416025661","0.244840093073435","0.237136124051176","0.234905867953785","0.234478421043605","0.236385545926169","0.237910962081514","0.23744205001276","0.235232325037941","0.235259985085577"
"134","time","uniform","5","25","4","Dionysus","1.29594384809025","1.31146768899634","1.29220350994729","1.30648085405119","1.30901335109957","1.29980583093129","1.32372634194326","1.30100991402287","1.29790670401417","1.30631877109408"
"135","time","uniform","5","30","4","Dionysus","4.9855370009318","4.99366664304398","4.98105391603895","4.97330282896291","4.99375643895473","4.97490036603995","5.00618944806047","4.9991915950086","5.01387087395415","4.99878654500935"
"136","time","uniform","5","35","4","Dionysus","20.9139828069601","21.3059434508905","20.8365735409316","20.4410772899864","20.4580945778871","20.3942498649703","20.3156815760303","20.60124287894","20.9633984540123","21.0073216930032"
"137","time","uniform","5","40","4","Dionysus","31.7833126719343","31.0220244149677","30.9866558549693","32.5506901389454","31.9921215989161","31.5024679700145","32.8829320999794","31.7074743568664","31.7310433848761","31.7816214679042"
"138","time","uniform","5","45","4","Dionysus","91.0963574369671","93.5266244979575","92.1233530730242","92.4457349240547","92.9001730580349","90.1776687860256","89.1054659580113","89.3509476559702","90.0110885860631","95.4587049940601"
"139","time","uniform","5","50","4","Dionysus","172.908507211017","172.915153634036","174.747823902988","174.374402248999","180.999158067978","177.002630866016","174.624766443041","176.96420785808","174.05157273903","186.040528315003"
"140","time","uniform","2","25","1","GUDHI","0.00179514812771231","0.00629684701561928","0.00590108009055257","0.00972595508210361","0.00581073598004878","0.00147643603850156","0.00142479606438428","0.00112045311834663","0.00865123094990849","0.00394719804171473"
"141","time","uniform","3","25","1","GUDHI","0.00377345201559365","0.00568643107544631","0.00285951397381723","0.00139128509908915","0.00120029912795871","0.00150198698975146","0.00121688703075051","0.0198563990416005","0.00395467504858971","0.00288501707836986"
"142","time","uniform","4","25","1","GUDHI","0.00573234190233052","0.00113675685133785","0.001278918934986","0.00142473191954195","0.00551504793111235","0.00110798887908459","0.00118095381185412","0.0012672048760578","0.00344813393894583","0.00334642990492284"
"143","time","uniform","5","25","1","GUDHI","0.00531406397931278","0.00334994494915009","0.00141228805296123","0.0014061180409044","0.00154130300506949","0.00123192300088704","0.00133594393264502","0.00122417300008237","0.00134483899455518","0.0011897380463779"
"144","time","uniform","2","50","1","GUDHI","0.00783439993392676","0.00705204089172184","0.0118245468474925","0.0121574598597363","0.00736551394220442","0.00708739599213004","0.0116479409625754","0.00736780487932265","0.00705937785096467","0.00706849584821612"
"145","time","uniform","3","50","1","GUDHI","0.0077254610368982","0.0148732730885968","0.00729036505799741","0.00834431196562946","0.00716257200110704","0.00749572599306703","0.00781425193417817","0.00753211998380721","0.00720236299093813","0.00719286000821739"
"146","time","uniform","4","50","1","GUDHI","0.00770315993577242","0.00709603796713054","0.00757120503112674","0.00724168191663921","0.00724882609210908","0.00723491096869111","0.00723558699246496","0.0070857050595805","0.0073826260631904","0.00707980198785663"
"147","time","uniform","5","50","1","GUDHI","0.00735579500906169","0.00923125399276614","0.00707204604987055","0.00705401692539454","0.00702208105940372","0.00725921103730798","0.00713543698657304","0.00699112599249929","0.00698849593754858","0.00708975712768734"
"148","time","uniform","2","75","1","GUDHI","0.0244822141248733","0.0281375790946186","0.0240661950083449","0.0240178079111502","0.0240064549725503","0.0239834160311148","0.0240777319995686","0.0240299919387326","0.0240796731086448","0.023794410051778"
"149","time","uniform","3","75","1","GUDHI","0.0243216099916026","0.0240758730797097","0.0243061609799042","0.0243905399693176","0.0244260840117931","0.0242840780410916","0.0243511130101979","0.0242083970224485","0.0241957940161228","0.0285545940278098"
"150","time","uniform","4","75","1","GUDHI","0.0248895898694173","0.024027016828768","0.0243227729806677","0.0243660889100283","0.0243682268774137","0.0241254948778078","0.023990728892386","0.0242264328990132","0.0243191339541227","0.0242645158432424"
"151","time","uniform","5","75","1","GUDHI","0.0244539750274271","0.024209231021814","0.0243188310414553","0.0244844660628587","0.0243678799597546","0.0247915399959311","0.0240169079042971","0.0240282970480621","0.0275072689400986","0.0243121769744903"
"152","time","uniform","2","100","1","GUDHI","0.0613114311126992","0.0600997410947457","0.0602251790696755","0.0591862120199949","0.0602854221360758","0.0615809981245548","0.0617355019785464","0.060668696067296","0.0601382430177182","0.0601021130569279"
"153","time","uniform","3","100","1","GUDHI","0.0607271970948204","0.0596702069742605","0.059050204930827","0.0587427919963375","0.0596733040874824","0.0602075720671564","0.0647404249757528","0.0599047630093992","0.0594677550252527","0.0588229050626978"
"154","time","uniform","4","100","1","GUDHI","0.062196361948736","0.0627170429797843","0.0628086649812758","0.0614167748717591","0.0626736439298838","0.0619084759382531","0.0620995978824794","0.061363385990262","0.0626741939922795","0.0613211890449747"
"155","time","uniform","5","100","1","GUDHI","0.0639115929370746","0.0670514989178628","0.0640510378871113","0.062246567918919","0.0619763649301603","0.0628298269584775","0.0646463820012286","0.0623059469508007","0.0623605109285563","0.0629921869840473"
"156","time","uniform","2","125","1","GUDHI","0.143562096985988","0.142425391008146","0.142497009015642","0.141013977117836","0.141406691982411","0.140867571928538","0.141399141051807","0.141430850024335","0.142518887063488","0.141588735044934"
"157","time","uniform","3","125","1","GUDHI","0.142228684970178","0.138925667037256","0.140579419094138","0.142487791948952","0.136955199996009","0.138121425989084","0.138526101014577","0.137926473049447","0.13847083307337","0.137276679044589"
"158","time","uniform","4","125","1","GUDHI","0.13694815908093","0.139153594034724","0.136346101993695","0.140310397138819","0.140187396085821","0.137974273995496","0.136733447085135","0.138303128071129","0.13715184002649","0.137345985043794"
"159","time","uniform","5","125","1","GUDHI","0.137775688897818","0.138660907861777","0.137349957949482","0.144763147924095","0.139011567924172","0.13872903585434","0.137915305909701","0.135079860803671","0.138869971851818","0.137036666856147"
